1,2504,21
2,2470,13
3,2511,21
4,2526,16
5,2553,20
6,2624,21
7,2607,15
8,2674,23
9,2490,20
10,2550,26
11,2531,17
12,2563,19
13,2548,22
14,2558,19
15,2509,20
16,2606,23
17,2423,19
18,2590,21
19,2514,21
20,2542,21
21,2471,16
22,2592,20
23,2513,17
24,2527,22
25,2477,26
26,2556,13
27,2552,15
28,2529,18
29,2564,21
30,2621,19
31,2605,19
32,2523,20
33,2769,32
34,2726,45
35,2799,44
36,2670,22
37,2646,22
38,2743,42
39,2806,26
40,2714,37
41,2813,28
42,2746,35
43,2738,35
44,2611,41
45,2737,47
46,2700,39
47,2658,60
48,2687,69
49,2726,51
50,2694,46
51,2730,36
52,2625,43
53,2703,50
54,2754,35
55,2641,37
56,2694,38
57,2758,37
58,2705,36
59,2749,67
60,2620,28
61,2676,39
62,2690,23
63,2711,59
64,2645,44
65,2652,44
66,2675,38
67,2865,23
68,2654,42
69,2666,48
70,2598,65
71,2696,40
72,2687,38
73,2744,21
74,2703,18
75,2717,17
76,2652,19
77,2718,27
78,2692,17
79,2733,17
80,2643,24
81,2727,19
82,2780,19
83,2798,28
84,2724,14
85,2770,18
86,2794,20
87,2844,21
88,2685,21
89,2813,26
90,2811,21
91,2851,25
